subject,count,link
"grand valley state university",1,"http://localhost:4000/foundingstories/browse.html#grand%20valley%20state%20university"
"nathan hale high school",1,"http://localhost:4000/foundingstories/browse.html#nathan%20hale%20high%20school"
"tacoma-pierce county economic development board (edb)",1,"http://localhost:4000/foundingstories/browse.html#tacoma-pierce%20county%20economic%20development%20board%20(edb)"
"indiana university bloomington",1,"http://localhost:4000/foundingstories/browse.html#indiana%20university%20bloomington"
"community involvement",1,"http://localhost:4000/foundingstories/browse.html#community%20involvement"
"urban revitalization",1,"http://localhost:4000/foundingstories/browse.html#urban%20revitalization"
"gender",1,"http://localhost:4000/foundingstories/browse.html#gender"
"comparative literature",1,"http://localhost:4000/foundingstories/browse.html#comparative%20literature"
"film studies",1,"http://localhost:4000/foundingstories/browse.html#film%20studies"
"washington state university",1,"http://localhost:4000/foundingstories/browse.html#washington%20state%20university"
"tacoma film festival",1,"http://localhost:4000/foundingstories/browse.html#tacoma%20film%20festival"
"ryan petty",1,"http://localhost:4000/foundingstories/browse.html#ryan%20petty"
"rod hagenbuch",1,"http://localhost:4000/foundingstories/browse.html#rod%20hagenbuch"
"tacoma film society",1,"http://localhost:4000/foundingstories/browse.html#tacoma%20film%20society"
"tri-campus",1,"http://localhost:4000/foundingstories/browse.html#tri-campus"
"norman dicks",1,"http://localhost:4000/foundingstories/browse.html#norman%20dicks"
"herb simon",1,"http://localhost:4000/foundingstories/browse.html#herb%20simon"
"dan grimm",1,"http://localhost:4000/foundingstories/browse.html#dan%20grimm"
"save our station",1,"http://localhost:4000/foundingstories/browse.html#save%20our%20station"
"richard l. mccormick",1,"http://localhost:4000/foundingstories/browse.html#richard%20l.%20mccormick"
"the whole u",1,"http://localhost:4000/foundingstories/browse.html#the%20whole%20u"
"pat spakes",1,"http://localhost:4000/foundingstories/browse.html#pat%20spakes"
"debra friedman",1,"http://localhost:4000/foundingstories/browse.html#debra%20friedman"
"judy stevens-long",1,"http://localhost:4000/foundingstories/browse.html#judy%20stevens-long"
"pierce county",1,"http://localhost:4000/foundingstories/browse.html#pierce%20county"
"education program",1,"http://localhost:4000/foundingstories/browse.html#education%20program"
"college of education",1,"http://localhost:4000/foundingstories/browse.html#college%20of%20education"
"classroom teachers",1,"http://localhost:4000/foundingstories/browse.html#classroom%20teachers"
"interdisciplinary",1,"http://localhost:4000/foundingstories/browse.html#interdisciplinary"
"center for equity and inclusion",1,"http://localhost:4000/foundingstories/browse.html#center%20for%20equity%20and%20inclusion"
"diversity resource center",1,"http://localhost:4000/foundingstories/browse.html#diversity%20resource%20center"
"highlander folk school",1,"http://localhost:4000/foundingstories/browse.html#highlander%20folk%20school"
"veteran",1,"http://localhost:4000/foundingstories/browse.html#veteran"
"military",1,"http://localhost:4000/foundingstories/browse.html#military"
"mentorship",1,"http://localhost:4000/foundingstories/browse.html#mentorship"
"youth services",1,"http://localhost:4000/foundingstories/browse.html#youth%20services"
"at-risk girls",1,"http://localhost:4000/foundingstories/browse.html#at-risk%20girls"
"black student union (bsu)",1,"http://localhost:4000/foundingstories/browse.html#black%20student%20union%20(bsu)"
"student organization",1,"http://localhost:4000/foundingstories/browse.html#student%20organization"
"mlk jr. unity breakfast",1,"http://localhost:4000/foundingstories/browse.html#mlk%20jr.%20unity%20breakfast"
"emily ignacio",1,"http://localhost:4000/foundingstories/browse.html#emily%20ignacio"
"michael honey",1,"http://localhost:4000/foundingstories/browse.html#michael%20honey"
"trista huckleberry",1,"http://localhost:4000/foundingstories/browse.html#trista%20huckleberry"
"luther adams",1,"http://localhost:4000/foundingstories/browse.html#luther%20adams"
"student services",1,"http://localhost:4000/foundingstories/browse.html#student%20services"
"bill richardson",1,"http://localhost:4000/foundingstories/browse.html#bill%20richardson"
"higher education coordinating (hec) board",1,"http://localhost:4000/foundingstories/browse.html#higher%20education%20coordinating%20(hec)%20board"
"bill chance",1,"http://localhost:4000/foundingstories/browse.html#bill%20chance"
"donna kerr",1,"http://localhost:4000/foundingstories/browse.html#donna%20kerr"
"brian ebersole",1,"http://localhost:4000/foundingstories/browse.html#brian%20ebersole"
"chuck collins",1,"http://localhost:4000/foundingstories/browse.html#chuck%20collins"
"theater district",1,"http://localhost:4000/foundingstories/browse.html#theater%20district"
"glenn terrell",1,"http://localhost:4000/foundingstories/browse.html#glenn%20terrell"
